DATAFLOW,LAST UPDATE,freq,unit,age,icd10,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2013,20.87,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2014,21.24,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2015,22.06,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2016,22.88,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2017,22.49,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2018,22.02,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2019,22.16,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2020,21.91,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2021,22.72,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2011,33.11,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2012,32.88,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2013,31.99,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2014,31.35,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2015,32.53,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2016,32.45,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2017,32.95,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2018,32.86,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2019,32.35,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2020,31.91,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EU27_2020,2021,33.79,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,FI,2011,53.53,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,FI,2012,50.37,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,FI,2013,47.93,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,FI,2014,45.9,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,FI,2015,44.01,
